epoch,loss,val_loss
0,0.6867520888646443,0.6718049287796021
1,0.6244578454229567,0.5782747864723206
2,0.5579184439447191,0.4774595260620117
3,0.46381143000390795,0.449281370639801
4,0.4451532999674479,0.44247357845306395
5,0.44107924699783324,0.44012956619262694
6,0.43926890558666654,0.43879165053367614
7,0.43813137809435526,0.43795056343078614
8,0.43731077512105304,0.437246298789978
9,0.436568072769377,0.43638967275619506
10,0.4359780814912584,0.4360735774040222
11,0.4354933950636122,0.43555604219436644
12,0.4351607759793599,0.4352608859539032
13,0.434866726398468,0.43506879806518556
14,0.4346453693177965,0.4348556876182556
15,0.4343640022807651,0.4346761584281921
16,0.4340587099393209,0.4340271711349487
17,0.4329421242078145,0.4313807487487793
18,0.42969892157448664,0.42855886220932005
19,0.4276827560530769,0.42696344256401064
20,0.42576956881417166,0.4249346375465393
21,0.4232317758931054,0.4224628686904907
22,0.42031614250606963,0.4190320670604706
23,0.4177538341946072,0.41720216870307925
24,0.4158766289552053,0.41549105048179624
25,0.41425504551993475,0.4143127083778381
26,0.41266147295633954,0.413018262386322
27,0.4117245621151394,0.412128871679306
28,0.4111508965492249,0.4114770650863647
29,0.410009143087599,0.40982977151870725
30,0.4093144794305166,0.4095571994781494
31,0.40869345797432793,0.40863163471221925
32,0.4084432681401571,0.4090743660926819
33,0.4079980221059587,0.408612585067749
34,0.4072342269950443,0.4078474402427673
35,0.40731867021984525,0.4080528974533081
36,0.4068257901403639,0.4072633385658264
37,0.40689196851518417,0.40858415961265565
38,0.40727608071433175,0.4070430636405945
39,0.40605480406019423,0.4062353253364563
40,0.40589194960064356,0.4077021718025208
41,0.4058965331978268,0.40586079359054567
42,0.4053544070985582,0.4060676276683807
43,0.4052834967772166,0.4054179310798645
44,0.40528309014108443,0.4059421122074127
45,0.4048240025838216,0.4054582715034485
46,0.4046200407875909,0.40548131465911863
47,0.40443260802163017,0.4050293922424316
48,0.4042247904671563,0.40492643117904664
49,0.40406574805577594,0.4044545412063599
50,0.4039781954553392,0.40487792491912844
51,0.4040978087319268,0.4044971227645874
52,0.4038656406932407,0.4040174901485443
53,0.40344680547714235,0.40411665439605715
54,0.403401690059238,0.40510461926460267
55,0.4035899996757507,0.4042531430721283
56,0.40333888861868117,0.4042167365550995
57,0.40301576058069866,0.40351439714431764
58,0.402911467022366,0.40384361743927
