class,graph_id,node_id
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,23
1,1,24
1,1,25
1,1,26
1,1,27
1,1,28
1,1,29
1,1,30
1,1,31
1,1,32
1,1,33
1,1,34
1,1,35
1,1,36
1,1,37
1,1,38
1,1,39
1,1,40
1,1,41
1,1,42
1,2,43
1,2,44
1,2,45
1,2,46
1,2,47
1,2,48
1,2,49
1,2,50
1,2,51
1,2,52
1,2,53
1,2,54
1,2,55
1,2,56
1,2,57
1,2,58
1,2,59
1,2,60
1,2,61
1,2,62
1,2,63
1,2,64
1,2,65
1,2,66
1,2,67
1,2,68
1,2,69
1,3,70
1,3,71
1,3,72
1,3,73
1,3,74
1,3,75
1,3,76
1,3,77
1,3,78
1,3,79
1,4,80
1,4,81
1,4,82
1,4,83
1,4,84
1,4,85
1,4,86
1,4,87
1,4,88
1,4,89
1,4,90
1,4,91
1,4,92
1,4,93
1,4,94
1,4,95
1,4,96
1,4,97
1,4,98
1,4,99
1,4,100
1,4,101
1,4,102
1,4,103
1,5,104
1,5,105
1,5,106
1,5,107
1,5,108
1,5,109
1,5,110
1,5,111
1,5,112
1,5,113
1,5,114
1,6,115
1,6,116
1,6,117
1,6,118
1,6,119
1,6,120
1,6,121
1,6,122
1,6,123
1,6,124
1,6,125
1,6,126
1,6,127
1,6,128
1,6,129
1,6,130
1,6,131
1,6,132
1,6,133
1,6,134
1,6,135
1,6,136
1,6,137
1,6,138
1,6,139
1,6,140
1,6,141
1,6,142
1,6,143
1,6,144
1,6,145
1,6,146
1,6,147
1,6,148
1,6,149
1,6,150
1,6,151
1,6,152
1,6,153
1,6,154
1,6,155
1,6,156
1,6,157
1,6,158
1,6,159
1,6,160
1,6,161
1,6,162
1,6,163
1,6,164
1,6,165
1,6,166
1,6,167
1,6,168
1,6,169
1,6,170
1,6,171
1,6,172
1,6,173
1,6,174
1,6,175
1,6,176
1,6,177
1,6,178
1,6,179
1,6,180
1,6,181
1,6,182
1,6,183
1,6,184
1,6,185
1,6,186
1,6,187
1,6,188
1,6,189
1,6,190
1,6,191
1,6,192
1,6,193
1,6,194
1,6,195
1,6,196
1,6,197
1,6,198
1,6,199
1,6,200
1,6,201
1,6,202
1,6,203
1,6,204
1,6,205
1,6,206
1,6,207
1,6,208
1,6,209
1,6,210
1,6,211
1,6,212
1,6,213
1,6,214
1,6,215
1,6,216
1,6,217
1,6,218
1,6,219
1,6,220
1,6,221
1,6,222
1,6,223
1,6,224
1,6,225
1,6,226
1,6,227
1,6,228
1,6,229
1,6,230
1,6,231
1,6,232
1,6,233
1,6,234
1,6,235
1,6,236
1,6,237
1,6,238
1,6,239
1,6,240
1,6,241
1,6,242
1,6,243
1,6,244
1,6,245
1,6,246
1,6,247
1,6,248
1,6,249
1,6,250
1,6,251
1,6,252
1,6,253
1,6,254
1,6,255
1,6,256
1,6,257
1,6,258
1,6,259
1,6,260
1,6,261
1,6,262
1,6,263
1,6,264
1,6,265
1,6,266
1,6,267
1,6,268
1,6,269
1,6,270
1,6,271
1,6,272
1,6,273
1,6,274
1,6,275
1,6,276
1,6,277
1,6,278
1,6,279
1,6,280
1,6,281
1,6,282
1,6,283
1,6,284
1,6,285
1,6,286
1,6,287
1,6,288
1,6,289
1,6,290
1,6,291
1,6,292
1,6,293
1,6,294
1,6,295
1,6,296
1,6,297
1,6,298
1,6,299
1,6,300
1,6,301
1,6,302
1,6,303
1,6,304
1,6,305
1,6,306
1,6,307
1,6,308
1,6,309
1,6,310
1,6,311
1,6,312
1,6,313
1,6,314
1,6,315
1,6,316
1,6,317
1,6,318
1,6,319
1,6,320
1,6,321
1,6,322
1,6,323
1,6,324
1,6,325
1,6,326
1,6,327
1,6,328
1,6,329
1,6,330
1,6,331
1,6,332
1,6,333
1,6,334
1,6,335
1,6,336
1,6,337
1,6,338
1,6,339
1,6,340
1,6,341
1,6,342
1,6,343
1,6,344
1,6,345
1,6,346
1,6,347
1,6,348
1,6,349
1,6,350
1,6,351
1,6,352
1,6,353
1,6,354
1,6,355
1,6,356
1,6,357
1,6,358
1,6,359
1,6,360
1,6,361
1,6,362
1,6,363
1,6,364
1,6,365
1,6,366
1,6,367
1,6,368
1,6,369
1,6,370
1,6,371
1,6,372
1,6,373
1,6,374
1,6,375
1,6,376
1,6,377
1,6,378
1,6,379
1,6,380
1,6,381
1,6,382
1,6,383
1,6,384
1,6,385
1,6,386
1,6,387
1,6,388
1,6,389
1,6,390
1,6,391
1,6,392
1,6,393
1,6,394
1,6,395
1,6,396
1,6,397
1,6,398
1,6,399
1,6,400
1,6,401
1,6,402
1,6,403
1,6,404
1,6,405
1,6,406
1,6,407
1,6,408
1,6,409
1,6,410
1,6,411
1,6,412
1,6,413
1,6,414
1,6,415
1,6,416
1,6,417
1,6,418
1,6,419
1,6,420
1,6,421
1,6,422
1,6,423
1,6,424
1,6,425
1,6,426
1,6,427
1,6,428
1,6,429
1,6,430
1,6,431
1,6,432
1,6,433
1,6,434
1,6,435
1,6,436
1,6,437
1,6,438
1,6,439
1,6,440
1,6,441
1,6,442
1,6,443
1,6,444
1,6,445
1,6,446
1,6,447
1,6,448
1,6,449
1,6,450
1,7,451
1,7,452
1,7,453
1,7,454
1,7,455
1,7,456
1,7,457
1,7,458
1,7,459
1,7,460
1,7,461
1,7,462
1,7,463
1,7,464
1,7,465
1,7,466
1,7,467
1,7,468
1,7,469
1,7,470
1,7,471
1,7,472
1,7,473
1,7,474
1,7,475
1,7,476
1,7,477
1,7,478
1,7,479
1,7,480
1,7,481
1,7,482
1,7,483
1,7,484
1,7,485
1,7,486
1,7,487
1,7,488
1,7,489
1,7,490
1,7,491
1,7,492
1,7,493
1,7,494
1,7,495
1,7,496
1,7,497
1,7,498
1,7,499
1,7,500
1,7,501
1,7,502
1,7,503
1,7,504
1,7,505
1,7,506
1,7,507
1,7,508
1,7,509
1,7,510
1,7,511
1,7,512
1,7,513
1,7,514
1,7,515
1,7,516
1,7,517
1,7,518
1,7,519
1,7,520
1,7,521
1,7,522
1,7,523
1,7,524
1,7,525
1,7,526
1,7,527
1,7,528
1,7,529
1,7,530
1,7,531
1,7,532
1,7,533
1,7,534
1,7,535
1,7,536
1,7,537
1,7,538
1,7,539
1,7,540
1,7,541
1,7,542
1,7,543
1,7,544
1,7,545
1,7,546
1,7,547
1,7,548
1,7,549
1,7,550
1,7,551
1,7,552
1,7,553
1,7,554
1,7,555
1,7,556
1,7,557
1,7,558
1,8,559
1,8,560
1,8,561
1,8,562
1,8,563
1,8,564
1,8,565
1,8,566
1,8,567
1,8,568
1,8,569
1,8,570
1,8,571
1,8,572
1,8,573
1,8,574
1,8,575
1,8,576
1,8,577
1,8,578
1,8,579
1,8,580
1,8,581
1,8,582
1,8,583
1,8,584
1,8,585
1,8,586
1,8,587
1,8,588
1,8,589
1,8,590
1,8,591
1,8,592
1,8,593
1,8,594
1,8,595
1,8,596
1,8,597
1,8,598
1,8,599
1,8,600
1,8,601
1,8,602
1,8,603
1,8,604
1,8,605
1,8,606
1,8,607
1,8,608
1,8,609
1,8,610
1,8,611
1,8,612
1,8,613
1,8,614
1,8,615
1,8,616
1,8,617
1,8,618
1,8,619
1,8,620
1,8,621
1,8,622
1,8,623
1,8,624
1,8,625
1,8,626
1,8,627
1,8,628
1,8,629
1,8,630
1,8,631
1,8,632
1,8,633
1,8,634
1,8,635
1,8,636
1,8,637
1,8,638
1,8,639
1,8,640
1,8,641
1,8,642
1,8,643
1,8,644
1,8,645
1,8,646
1,8,647
1,8,648
1,8,649
1,8,650
1,8,651
1,8,652
1,8,653
1,8,654
1,8,655
1,8,656
1,8,657
1,8,658
1,8,659
1,8,660
1,8,661
1,8,662
1,8,663
1,8,664
1,8,665
1,8,666
1,8,667
1,8,668
1,8,669
1,8,670
1,8,671
1,8,672
1,8,673
1,8,674
1,8,675
1,8,676
1,8,677
1,8,678
1,8,679
1,8,680
1,8,681
1,8,682
1,8,683
1,8,684
1,8,685
1,8,686
1,8,687
1,8,688
1,8,689
1,8,690
1,8,691
1,8,692
1,8,693
1,8,694
1,8,695
1,8,696
1,8,697
1,8,698
1,8,699
1,8,700
1,8,701
1,8,702
1,8,703
1,8,704
1,8,705
1,8,706
1,8,707
1,8,708
1,8,709
1,8,710
1,8,711
1,8,712
1,9,713
1,9,714
1,9,715
1,9,716
1,9,717
1,9,718
1,9,719
1,9,720
1,9,721
1,9,722
1,9,723
1,9,724
1,9,725
1,9,726
1,9,727
1,9,728
1,9,729
1,9,730
1,9,731
1,10,732
1,10,733
1,10,734
1,10,735
1,10,736
1,10,737
1,10,738
1,10,739
1,10,740
1,10,741
1,10,742
1,11,743
1,11,744
1,11,745
1,11,746
1,11,747
1,11,748
1,11,749
1,11,750
1,11,751
1,11,752
1,11,753
1,11,754
1,11,755
1,11,756
1,11,757
1,11,758
1,11,759
1,11,760
1,11,761
1,11,762
1,12,763
1,12,764
1,12,765
1,12,766
1,12,767
1,12,768
1,12,769
1,12,770
1,12,771
1,12,772
1,12,773
1,12,774
1,12,775
1,12,776
1,12,777
1,12,778
1,12,779
1,12,780
1,12,781
1,12,782
1,12,783
1,12,784
1,12,785
1,12,786
1,12,787
1,12,788
1,12,789
1,12,790
1,12,791
1,12,792
1,12,793
1,12,794
1,12,795
1,12,796
1,12,797
1,12,798
1,12,799
1,12,800
1,12,801
1,12,802
1,12,803
1,12,804
1,12,805
1,12,806
1,12,807
1,12,808
1,12,809
1,12,810
1,12,811
1,12,812
1,12,813
1,12,814
1,13,815
1,13,816
1,13,817
1,13,818
1,13,819
1,13,820
1,13,821
1,13,822
1,13,823
1,13,824
1,13,825
1,13,826
1,13,827
1,13,828
1,13,829
1,13,830
1,13,831
1,13,832
1,13,833
1,13,834
1,13,835
1,14,836
1,14,837
1,14,838
1,14,839
1,14,840
1,14,841
1,14,842
1,14,843
1,14,844
1,14,845
1,14,846
1,14,847
1,14,848
1,14,849
1,14,850
1,14,851
1,14,852
1,14,853
1,14,854
1,14,855
1,14,856
1,14,857
1,14,858
1,14,859
1,14,860
1,14,861
1,14,862
1,14,863
1,14,864
1,14,865
1,14,866
1,14,867
1,14,868
1,14,869
1,14,870
1,14,871
1,14,872
1,14,873
1,14,874
1,14,875
1,14,876
1,14,877
1,14,878
1,14,879
1,15,880
1,15,881
1,15,882
1,15,883
1,15,884
1,15,885
1,15,886
1,15,887
1,15,888
1,15,889
1,15,890
1,15,891
1,15,892
1,15,893
1,15,894
1,15,895
1,15,896
1,15,897
1,15,898
1,15,899
1,16,900
1,16,901
1,16,902
1,16,903
1,16,904
1,16,905
1,16,906
1,16,907
1,16,908
1,16,909
1,16,910
1,16,911
1,16,912
1,16,913
1,16,914
1,16,915
1,16,916
1,16,917
1,16,918
1,16,919
1,16,920
1,16,921
1,16,922
1,16,923
1,16,924
1,16,925
1,16,926
1,16,927
1,16,928
1,16,929
1,16,930
1,16,931
1,16,932
1,16,933
1,16,934
1,16,935
1,16,936
1,16,937
1,16,938
1,16,939
1,17,940
1,17,941
1,17,942
1,17,943
1,17,944
1,17,945
1,17,946
1,17,947
1,17,948
1,17,949
1,17,950
1,17,951
1,17,952
1,17,953
1,17,954
1,17,955
1,17,956
1,17,957
1,17,958
1,17,959
1,17,960
1,17,961
1,17,962
1,18,963
1,18,964
1,18,965
1,18,966
1,18,967
1,18,968
1,18,969
1,18,970
1,18,971
1,18,972
1,18,973
1,18,974
1,18,975
1,18,976
1,18,977
1,18,978
1,18,979
1,18,980
1,18,981
1,18,982
1,18,983
1,18,984
1,18,985
1,18,986
1,18,987
1,18,988
1,18,989
1,18,990
1,18,991
1,18,992
1,18,993
1,18,994
1,18,995
1,18,996
1,18,997
1,18,998
1,18,999
1,18,1000
1,18,1001
1,18,1002
1,18,1003
1,18,1004
1,18,1005
1,18,1006
1,18,1007
1,18,1008
1,18,1009
1,18,1010
1,18,1011
1,18,1012
1,18,1013
1,18,1014
1,18,1015
1,18,1016
1,18,1017
1,18,1018
1,18,1019
1,18,1020
1,18,1021
1,18,1022
1,18,1023
1,18,1024
1,18,1025
1,18,1026
1,18,1027
1,18,1028
1,18,1029
1,18,1030
1,18,1031
1,18,1032
1,18,1033
1,18,1034
1,18,1035
1,18,1036
1,18,1037
1,18,1038
1,18,1039
1,18,1040
1,18,1041
1,18,1042
1,18,1043
1,18,1044
1,18,1045
1,18,1046
1,18,1047
1,18,1048
1,18,1049
1,18,1050
1,18,1051
1,18,1052
1,18,1053
1,18,1054
1,18,1055
1,18,1056
1,18,1057
1,18,1058
1,18,1059
1,18,1060
1,18,1061
1,18,1062
1,18,1063
1,18,1064
1,18,1065
1,18,1066
1,18,1067
1,18,1068
1,18,1069
1,18,1070
1,18,1071
1,18,1072
1,18,1073
1,18,1074
1,18,1075
1,18,1076
1,18,1077
1,18,1078
1,18,1079
1,18,1080
1,18,1081
1,18,1082
1,18,1083
1,18,1084
1,18,1085
1,18,1086
1,18,1087
1,18,1088
1,18,1089
1,18,1090
1,18,1091
1,18,1092
1,18,1093
1,18,1094
1,18,1095
1,18,1096
1,18,1097
1,18,1098
1,18,1099
1,18,1100
1,18,1101
1,18,1102
1,18,1103
1,18,1104
1,18,1105
1,18,1106
1,18,1107
1,18,1108
1,18,1109
1,18,1110
1,18,1111
1,18,1112
1,18,1113
1,18,1114
1,18,1115
1,18,1116
1,18,1117
1,18,1118
1,18,1119
1,18,1120
1,18,1121
1,18,1122
1,18,1123
1,18,1124
1,18,1125
1,18,1126
1,18,1127
1,18,1128
1,18,1129
1,18,1130
1,18,1131
1,18,1132
1,18,1133
1,18,1134
1,18,1135
1,18,1136
1,18,1137
1,18,1138
1,18,1139
1,18,1140
1,18,1141
1,18,1142
1,18,1143
1,18,1144
1,18,1145
1,18,1146
1,18,1147
1,18,1148
1,18,1149
1,18,1150
1,18,1151
1,18,1152
1,18,1153
1,18,1154
1,18,1155
1,18,1156
1,18,1157
1,18,1158
1,18,1159
1,18,1160
1,18,1161
1,18,1162
1,18,1163
1,18,1164
1,18,1165
1,18,1166
1,18,1167
1,18,1168
1,18,1169
1,18,1170
1,18,1171
1,18,1172
1,18,1173
1,18,1174
1,18,1175
1,18,1176
1,18,1177
1,18,1178
1,18,1179
1,18,1180
1,18,1181
1,18,1182
1,18,1183
1,18,1184
1,18,1185
1,18,1186
1,18,1187
1,18,1188
1,18,1189
1,18,1190
1,18,1191
1,18,1192
1,18,1193
1,18,1194
1,18,1195
1,18,1196
1,18,1197
1,18,1198
1,18,1199
1,18,1200
1,18,1201
1,18,1202
1,18,1203
1,18,1204
1,18,1205
1,18,1206
1,18,1207
1,18,1208
1,18,1209
1,18,1210
1,18,1211
1,18,1212
1,18,1213
1,18,1214
1,18,1215
1,18,1216
1,18,1217
1,18,1218
1,18,1219
1,18,1220
1,18,1221
1,18,1222
1,18,1223
1,18,1224
1,18,1225
1,18,1226
1,18,1227
1,18,1228
1,18,1229
1,18,1230
1,18,1231
1,18,1232
1,18,1233
1,18,1234
1,18,1235
1,18,1236
1,18,1237
1,18,1238
1,18,1239
1,18,1240
1,18,1241
1,18,1242
1,18,1243
1,18,1244
1,18,1245
1,18,1246
1,18,1247
1,19,1248
1,19,1249
1,19,1250
1,19,1251
1,19,1252
1,19,1253
1,19,1254
1,19,1255
1,19,1256
1,19,1257
1,19,1258
1,19,1259
1,19,1260
1,19,1261
1,19,1262
1,19,1263
1,19,1264
1,19,1265
1,19,1266
1,19,1267
1,19,1268
1,19,1269
1,19,1270
1,19,1271
1,19,1272
1,19,1273
1,19,1274
1,19,1275
1,19,1276
1,19,1277
1,19,1278
1,19,1279
1,19,1280
1,19,1281
1,19,1282
1,19,1283
1,19,1284
1,19,1285
1,19,1286
1,19,1287
1,19,1288
1,19,1289
1,19,1290
1,19,1291
1,19,1292
1,19,1293
1,19,1294
1,19,1295
1,19,1296
